Page,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors_gt_224,obj,stream,xref,trailer,startxref,filesize_kb,label_numeric,label,dummy_0,dummy_1,dummy_2
1,0,0,1,1,0,1,0,0,0,0,0,0,0,16,2,1,1,1,14.124629646269621,1,malicious,-2.748014505434997,-0.46201778948205696,0.17513687209466355
1,0,0,1,1,0,1,0,0,0,0,0,0,0,15,2,1,1,1,19.634817352274972,1,malicious,0.345894620177283,-0.6531895122863358,0.13256222460160727
1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,1,1,1,0.0,1,malicious,0.34931236999021475,0.2748650095841718,-0.9494069102961092
1,0,0,0,1,0,1,1,0,0,0,0,0,0,27,7,1,1,2,27.344614955350913,1,malicious,0.40396827238525324,-0.7186028269468285,0.28716023226330883
1,0,0,1,1,0,1,0,0,0,0,0,0,0,18,3,1,1,0,0.0,1,malicious,0.5266761844082137,1.087374988127908,0.8359893477308155
1,0,0,1,1,0,1,1,0,0,0,0,0,0,27,9,1,2,1,174.18464266146665,1,malicious,0.8188070008492364,1.1504452573084125,0.754358303994318
0,0,0,1,1,0,1,0,0,0,0,0,0,0,12,1,0,1,1,8.350419561698256,1,malicious,0.5395942208178471,-0.012675233184613678,-0.5168479394933206
8,1,0,1,1,0,1,1,0,1,0,1,1,0,93,28,1,1,2,231.88577352641192,1,malicious,0.1280731443871142,-0.7179369172422513,-0.989979067891812
2,0,1,0,0,0,0,0,0,0,0,0,0,0,39,8,2,2,2,182.52778787472582,1,malicious,-0.9452892499056709,0.17199208998874077,-0.034038974687865625
26,0,0,1,1,1,1,0,0,0,1,0,0,0,92,36,3,3,3,414.3002852249714,1,malicious,-1.5584651000781513,-1.1954380726267277,-0.16632744035212202
0,0,2,1,1,1,1,1,0,0,0,1,1,0,21,12,0,0,1,29.084019294165845,1,malicious,1.0722084689720306,-0.5292459231592676,0.5343883519673488
1,0,0,1,1,0,1,0,0,0,0,0,0,0,16,6,1,0,1,218.37676226393273,1,malicious,-0.12623435142430176,-0.2769134904037939,0.6672269550514989
1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,6,1,1,1,407.6036987291794,1,malicious,-0.8483569265359597,0.00840886034824674,0.7641545462784475
1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,3,0,1,1,22.397476208463168,1,malicious,-1.079331077118539,-0.6179838175486466,-1.4307070793946373
1,0,0,1,1,0,1,0,0,0,0,0,0,0,5,6,1,1,1,0.0,1,malicious,-0.12312266243213953,0.11693629210099592,1.2187801807646592
1,0,2,0,0,0,0,0,0,0,0,0,0,0,18,8,2,2,2,151.46165027516997,1,malicious,0.04423251240640584,0.49914642230372785,0.26942198851933824
4,0,0,1,1,1,1,0,0,0,0,0,0,0,30,10,4,4,4,715.6881219007388,1,malicious,0.14629064511398532,-0.07808132698944374,0.18780080297770488
1,0,0,1,1,0,1,0,0,0,0,0,0,0,8,2,0,1,0,8.67256360526961,1,malicious,-0.9857504276474308,0.17318835753962783,-0.10045474727160085
1,0,0,1,1,1,1,1,0,0,0,1,1,0,22,6,1,1,1,187.572673849179,1,malicious,-0.12720755145985196,-0.09609686004148667,0.2806976905064603
0,0,0,1,1,0,1,0,0,0,0,0,0,0,11,3,0,1,1,19.56717421961301,1,malicious,-0.8679565715005334,0.8077850544743147,1.406419600829816
15,1,0,1,1,0,1,1,0,1,0,1,1,0,125,29,1,1,2,167.83955150538944,1,malicious,0.2206037264135575,1.7495680784367826,0.3118098072140843
1,0,0,1,1,0,1,0,0,0,0,0,0,0,14,4,2,2,2,0.0,1,malicious,0.6158013004339563,-1.0448751682001662,-0.01684391944862465
1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,1,1,11.172737901381403,1,malicious,1.9544401579672985,0.13479242148811482,0.2419159608566667
1,1,0,1,1,0,1,1,0,0,0,0,0,0,13,1,1,1,1,7.510491932671211,1,malicious,-1.365147251425327,-0.4469096789987634,0.25669223597001395
0,0,0,1,1,0,1,0,0,0,0,0,0,0,8,0,0,1,0,10.834677574472565,1,malicious,0.08137691557649297,-0.14602800347447198,-0.1881237001656018
14,0,2,1,1,1,1,0,0,0,0,0,0,0,108,38,10,8,5,593.5771727151093,1,malicious,-1.7514228224308592,-0.3249845891163204,0.8792268638439553
0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,1,0,1,1,10.190520726835926,1,malicious,-1.7617968873008967,-0.7535688014852407,-1.589945027776983
1,0,0,1,1,0,1,1,0,0,0,0,0,0,13,2,1,1,1,0.0,1,malicious,-0.33102899969399835,0.12417923524851014,0.3609985032069482
2,0,0,1,1,0,1,1,0,0,0,0,1,0,4,6,1,1,1,14.19317704577064,1,malicious,-0.8897583632875383,1.1706323281285969,0.4267601058274887
6,0,0,1,1,0,1,0,0,0,0,0,0,0,26,7,1,1,1,0.0,1,malicious,-0.4303041680179883,-0.717184289312689,1.1128541769905809
0,0,2,0,0,0,0,0,0,0,0,0,0,0,27,31,1,0,1,274.23162169247564,1,malicious,-1.164893440021948,-0.7681053991799611,-0.7086531607855728
3,0,0,1,1,0,1,0,0,0,0,0,0,0,79,8,1,1,0,0.0,1,malicious,-0.7866615321041696,-1.4422069115506273,-1.503723163242781
3,0,0,1,1,0,1,0,0,0,0,0,0,0,30,7,2,1,2,30.565994504106502,1,malicious,1.6853847939135005,-0.8925837380943006,1.1210858126924736
2,0,0,1,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,98.14701503305945,1,malicious,-0.22675469939491638,1.2023229368676553,0.2598751236050092
10,1,1,1,1,0,1,1,0,1,0,1,1,0,112,38,1,1,2,322.83762232999425,1,malicious,0.3279415938352704,1.8560153456913542,-0.7575798632217582
5,0,2,1,1,1,1,0,0,0,0,0,0,0,143,38,16,17,9,177.12784161528094,1,malicious,0.13364185896318417,1.3301105139655884,-0.938718236998201
1,0,0,1,1,0,1,1,0,0,0,0,0,0,16,2,1,1,1,0.0,1,malicious,-1.0447091403764677,0.3710292979419707,0.36158709590201543
1,0,5,0,0,0,0,1,0,0,0,1,1,0,39,11,0,0,2,249.625,1,malicious,0.8990438468785712,0.12525234794374604,1.0926722707863301
1,0,0,1,1,0,1,0,0,0,0,0,0,0,26,4,1,1,1,203.2485201842265,1,malicious,1.3999511856921938,0.8630748223397365,0.9106001195055731
4,0,0,0,0,0,1,0,0,0,0,0,0,0,90,5,1,2,1,107.4635055011081,1,malicious,0.9000505242833018,-0.14950811036385797,-0.3335088203235088
1,0,0,1,1,0,1,1,0,0,0,0,0,0,10,2,1,1,1,3.4621397023814753,1,malicious,-0.7398887824732785,0.11358372517630154,-2.4300092793104304
0,0,6,0,0,0,0,1,0,0,0,1,0,0,42,38,0,0,1,209.43555919156896,1,malicious,0.31618218784802815,-1.8797934281949602,-1.2641194032900178
13,1,0,1,1,0,1,1,0,1,0,1,1,0,107,29,1,1,2,347.4629055036743,1,malicious,-0.560552831903368,2.150844217090794,-0.8499811033513774
16,1,0,1,1,0,1,1,0,1,0,1,1,0,89,33,1,1,2,356.71118302591645,1,malicious,-0.6079040197255345,0.34610970617234893,0.8723992453130378
4,0,1,0,0,0,1,0,0,0,0,0,0,0,130,5,6,2,4,189.8769729088514,1,malicious,-0.20659702544281391,1.267860422620959,-0.8497236820524766
1,0,0,1,1,0,1,0,0,0,0,0,0,0,8,3,1,1,1,0.0,1,malicious,1.153224746495743,-0.795975521180074,0.16114712630880784
1,0,0,1,1,0,1,1,0,0,0,0,0,0,13,2,1,1,1,14.093233730258413,1,malicious,1.2841403900126573,0.08205310665149858,0.6286177213522474
0,0,0,1,1,0,1,0,0,0,0,1,0,0,7,1,0,1,1,603.1396484375,1,malicious,0.09077507635298282,-0.15297127901756008,-0.28731032235422105
1,0,3,0,0,0,0,1,0,0,0,1,1,0,26,11,1,0,1,735.4580078125,1,malicious,-0.3566444350708657,-1.5452808350529386,1.476310430243129
1,0,0,1,1,0,1,0,0,0,0,0,0,0,5,2,0,1,0,10.859912583030273,1,malicious,2.1962824675802426,0.23766359915705348,1.2212186143807586
37,0,0,1,1,1,1,0,0,0,1,0,0,0,109,33,4,4,4,729.2693703917306,1,malicious,-0.9775200787383181,0.5640364288046168,-1.5157062973138065
1,0,0,1,1,0,1,0,0,0,0,0,0,0,11,7,2,2,2,40.264511643351156,1,malicious,1.3051050142261835,1.127223983506041,-1.0159767246105706
9,1,0,1,1,0,1,1,0,1,0,1,1,0,88,28,1,1,2,735.625,1,malicious,1.0950225875250634,0.5584133194546882,-0.16004464232583132
2,0,0,1,1,0,1,0,0,0,0,0,0,0,37,8,1,1,1,15.35831805320565,1,malicious,-0.4439379891063332,0.3172599261910228,-1.9573050526842952
0,0,2,0,0,0,0,0,0,0,0,0,0,0,42,20,0,0,1,1460.8004459337405,0,benign,0.45564766617968727,-0.5737202773703125,0.8760159645637993
2,0,0,1,1,0,1,0,0,0,0,1,0,0,10,2,0,0,0,53.1748046875,1,malicious,0.3189532869099337,-0.6595576382248345,0.5401242223226354
1,0,1,0,0,0,0,0,0,0,0,0,0,0,29,6,2,0,2,140.3608706025924,1,malicious,-0.9697668592151623,0.9091444080237272,0.2888595429068015
5,0,0,1,1,0,1,1,0,1,0,1,0,0,126,34,1,1,2,151.4164418527721,1,malicious,0.045595696849812815,1.1885259934624663,-0.4459735576875016
11,1,1,1,1,0,1,1,0,1,0,1,1,0,102,28,1,2,2,572.5775541115398,1,malicious,0.4570508476663114,0.7826521303140134,-1.2113321787298563
1,0,0,1,1,0,1,0,0,0,0,0,0,0,7,3,1,1,1,8.05867034450101,0,benign,0.1240660535145163,-0.8454347301514199,0.7394716922414238
13,0,0,1,1,0,1,1,0,1,0,1,1,0,112,38,1,1,2,877.2509765625,1,malicious,-1.2612600653932353,0.37356552854578656,-1.3158457251620725
34,0,0,1,1,1,1,0,0,0,1,0,0,0,98,36,5,3,3,189.7500767476533,1,malicious,-1.8561911755055358,-1.3242470878092778,-0.633274684001844
1,0,0,1,1,0,1,0,0,0,0,0,0,0,92,29,3,2,2,32.73507786986038,0,benign,-0.9418696916971365,1.3301094826309194,-1.7662241742745677
1,0,0,1,1,0,1,1,0,0,0,0,1,0,30,6,1,1,1,171.7503305952517,1,malicious,0.1483049342922892,-1.2667797135256662,-2.5496757437383413
0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,2,1,1,1,9.494250158949175,1,malicious,-0.23118784466626432,-0.7687603316665826,0.18657422078844696
0,0,1,0,1,0,1,0,0,0,0,0,0,0,39,9,2,2,2,230.07386074530007,1,malicious,-0.7385126620604655,1.494701440284294,-1.035357713701148
1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,1,1,0,14.158586681726565,1,malicious,0.8976410576016144,0.5448485352712107,-0.2608051352233058
5,0,0,1,1,0,1,0,0,0,0,0,0,0,21,6,1,1,1,16.14397949445915,1,malicious,-2.289156450895979,-0.7684011762285772,0.13791497709143877
1,0,0,1,1,0,1,1,0,0,0,0,0,0,22,13,7,9,5,65.82528591375879,1,malicious,0.976706023194489,0.05874363858815255,-0.1823167766418334
16,0,0,0,0,0,1,0,0,0,0,0,0,0,94,28,1,1,1,17.692556288034126,1,malicious,0.1532048173502881,2.1104042927553497,1.1365602339904222
8,0,0,0,0,1,1,1,0,0,0,1,1,0,30,1,9,15,9,603.1396484375,1,malicious,1.6949509506141789,-0.17933236321608342,0.7173186080148866
1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,2,1,1,1,17.742953343654094,1,malicious,-0.19306624366855588,-0.20225558809075816,0.30773310292444805
1,0,0,1,1,0,1,0,0,0,0,0,0,0,13,7,1,2,1,2.8865209863775756,1,malicious,-0.4053301446935243,-1.1113663141652572,-1.1444507555129908
1,0,0,0,0,0,1,0,0,0,0,0,0,0,31,6,1,1,1,12.865221540240288,1,malicious,-0.813171437213054,-0.12495617515571508,1.103448586155836
1,0,6,0,0,0,0,1,0,0,0,0,0,0,80,27,0,1,3,94.8454262762917,1,malicious,1.2357846978098046,-0.013344068666170494,-0.12355458494570426
1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,16.53044083343281,1,malicious,0.08973532011980298,0.9474051424644817,-0.07663515483000694
5,0,0,0,0,0,1,0,0,0,0,0,0,0,21,4,2,2,2,309.2950664490154,1,malicious,-0.025511827985722404,0.18081955175673045,1.3690854047472418
1,0,0,1,1,0,1,0,0,0,0,0,0,0,14,6,1,1,1,7.688730181793566,1,malicious,-0.29727278229030935,0.35747228650054846,-1.8299875947803537
0,0,0,1,1,0,1,0,0,0,0,0,0,0,28,4,2,2,0,28.299545992510122,1,malicious,1.485448559668666,0.6595623102609076,-1.6603910520957363
2,1,0,1,1,1,1,1,0,0,0,0,1,0,57,6,1,1,1,154.8362681095248,1,malicious,0.23778335382529275,0.7376569949624902,0.44651254957371933
1,0,0,1,1,0,1,0,0,0,0,0,0,0,14,9,1,1,1,16.529726272461644,1,malicious,-0.5647413726344731,-0.1287802766244373,2.627499298870785
9,0,2,1,1,1,1,0,0,0,0,0,0,0,112,38,22,24,12,20.075128356993453,1,malicious,1.8138326253166903,-0.21785294810975156,1.5077999530266324
5,0,0,1,1,0,1,0,0,0,0,0,0,0,23,5,1,1,1,16.91589503394322,1,malicious,-1.1528008137819816,0.4943541680876825,0.08919791508364634
1,0,0,0,0,0,1,0,0,0,0,0,0,0,23,5,1,2,1,20.954489094705288,1,malicious,0.8771908365897007,0.863616255303676,0.8366606481237695
3,1,0,1,1,1,1,1,0,0,1,0,0,0,81,37,3,0,3,199.54613634822817,1,malicious,-0.2872627849201865,1.0380799687689657,0.13712291646834718
2,0,3,0,0,0,0,0,0,0,0,1,0,0,23,12,0,0,2,95.73632322588861,1,malicious,0.8745298667179626,-0.4576278114932045,0.4729340374768562
2,0,6,0,0,0,0,1,0,0,0,0,0,0,24,15,-1,0,1,239.15545621505493,1,malicious,-0.13795617341386035,-0.5832053131845084,0.06591622733147998
0,0,2,0,0,0,0,0,0,0,0,1,0,0,111,25,0,0,1,30.224698770356294,1,malicious,1.560462093742808,1.6501060443277356,-0.21917692199777444
1,0,1,0,0,0,0,1,0,0,0,1,1,0,24,7,0,0,1,102.9482421875,1,malicious,-0.8418810459575805,0.6475108017582145,0.8117341892974774
2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,1,68.85006416735307,1,malicious,0.19116234442633614,-0.6592583016014579,-0.11196805158384623
4,0,1,1,1,0,1,0,0,0,0,0,0,0,23,6,1,1,1,32.63091502187572,1,malicious,-0.9577286464229132,1.204432725246655,0.7167944242968594
1,0,1,0,0,0,0,1,0,0,0,1,0,0,28,5,0,0,0,52.703125,1,malicious,1.1404605067760454,-2.7163824377071233,-0.28674554715048106
1,0,0,1,1,0,1,0,0,0,0,0,0,0,8,3,1,1,1,0.0,1,malicious,-1.1119106231594216,0.04516021947544773,-0.4664485452158782
2,1,0,1,1,1,1,1,0,0,0,0,1,0,20,7,1,1,1,196.12453295608069,1,malicious,0.14963144700276895,-0.6781372387546627,-0.637885878467699
0,0,0,1,1,0,1,1,0,0,0,0,0,0,12,1,1,1,1,10.809648535900887,1,malicious,0.11433870873557161,-0.8571344604889458,-1.2142766939971552
2,0,4,0,0,0,0,1,0,0,0,1,0,0,17,6,0,0,0,4.307862361136021,1,malicious,-0.7141489152155533,1.2125361183124181,0.3952359138376133
1,0,0,1,1,1,1,1,0,0,0,1,1,0,22,8,1,1,1,104.53430249929771,1,malicious,0.6825758667073478,0.4958089572099341,0.2435893491608837
1,0,0,1,1,0,1,0,0,0,0,0,0,0,13,5,1,1,1,3.863802406651124,1,malicious,-1.575600212832814,-0.582053532481789,-1.5849351270689291
0,0,3,0,0,0,0,0,0,0,0,0,0,0,42,21,0,0,1,302.7786687492205,1,malicious,-0.009021209733521473,2.3987337364835506,-1.8973294260016178
1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,1,1,1,52.38879079761873,1,malicious,0.2873217640546054,-0.4024999514326406,0.3007292521999107
1,0,0,1,1,0,1,0,0,0,0,0,0,0,10,5,1,1,1,6.25077210575456,1,malicious,0.5445696360828658,0.25211477742737304,-0.8278838700280247
2,0,2,1,1,1,1,1,0,0,0,1,1,0,25,10,0,0,1,37.140867475852076,1,malicious,-0.9780647590731666,-0.8024194573519798,-0.589068104554562
0,0,0,1,1,0,1,0,0,0,0,0,0,0,7,2,1,1,1,0.0,1,malicious,1.828461467996103,2.6942052379696784,-0.20617454466153073
3,0,1,0,0,0,1,0,0,0,0,0,0,0,28,8,2,2,2,431.05517944875976,1,malicious,1.206370716485461,-0.6721358959034897,-0.5514559368750095
1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,4,1,1,1,77.849609375,1,malicious,1.0555908699607117,-0.9399491911670932,-0.35212772836750883
1,0,0,1,1,0,1,0,0,0,0,0,0,0,11,8,1,1,2,0.0,1,malicious,-2.414729413411403,0.03855741661582029,1.0517294144154898
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,1,1,1,0.0,1,malicious,-0.09537268386820331,1.7961294535717707,-0.4006842762860325
2,0,1,0,0,0,0,0,0,0,0,0,0,0,17,8,2,2,2,143.86583688565094,1,malicious,1.0988939058646605,-1.3704753893281603,-1.6134123652355585
1,0,0,1,1,0,1,0,0,0,0,0,0,0,8,6,1,1,1,0.0,1,malicious,0.5563998834077886,-0.9648418013740229,-0.32532739688938767
2,0,0,1,1,0,1,0,0,0,0,0,0,0,14,2,1,1,1,0.0,1,malicious,1.3662180015521976,0.6646980883620516,0.24000751106310497
9,0,1,1,1,0,1,1,0,1,0,1,1,0,78,33,1,1,2,111.228515625,1,malicious,0.3830761166513075,-1.3841116583501145,1.263743986690338
1,0,0,0,1,0,1,0,0,0,0,0,0,0,12,1,1,0,0,0.0,1,malicious,-0.03322239715266835,1.3217802965824528,0.556663971584381
1,0,1,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,2,33.66607705727882,1,malicious,-0.6306254807979099,-0.1723766035423707,-1.6549562083353024
1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,1,1,17.850303732479027,1,malicious,-0.03194759190720208,0.011428517037114058,1.6711083158740734
11,0,2,1,1,1,1,0,0,0,0,0,0,0,87,29,10,26,8,49.871279640103324,1,malicious,-0.4765486151484528,-0.665195074093322,-0.10645060380521988
41,0,6,1,1,1,1,0,0,0,1,0,0,0,112,39,3,2,3,472.46480997921844,1,malicious,0.2521596208101706,-0.5796075098891044,0.19555313567317947
5,0,1,1,1,0,1,0,0,0,0,0,0,0,31,12,1,1,1,0.0,1,malicious,-0.46241239830581743,-0.5934059715657831,-0.02198656355811827
5,0,1,1,0,0,1,0,0,0,0,0,0,0,88,13,4,4,9,1054.42290186483,1,malicious,-1.4580602124705164,0.7875845208321972,0.3857179595407555
1,0,0,1,1,0,1,0,0,0,0,1,0,0,9,2,0,1,0,412.4189453125,1,malicious,-0.9055617497438319,1.1215736379686982,-1.5323350595866563
1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,1,1,1,46.8761950985526,1,malicious,-0.4446490995234141,1.517188069598806,1.0893414915179063
1,0,0,1,1,0,1,0,0,0,0,0,0,0,7,2,0,2,0,1.0428567944286478,1,malicious,-0.7212949621496337,0.105129245758986,-0.979139364025126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,1,2,0.0,1,malicious,1.4865640285170005,-0.34740508946672566,0.04311257127188523
2,0,0,1,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,0.0,1,malicious,-0.3967690505365502,-0.566741750644894,1.0028186383699376
0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,1,1,1,7.532605861851758,1,malicious,-2.0013297193438824,-1.5479512173267882,-0.1773669839422443
1,0,0,1,1,0,1,0,0,0,0,0,0,0,18,2,1,2,1,8.416175988974933,1,malicious,0.643158943992791,-1.766939164501259,-0.27216663408918
1,0,0,1,1,0,1,1,0,0,0,1,1,0,8,1,1,1,0,741.693359375,1,malicious,-2.0814202023641983,-0.1460751685189713,-0.3443060718963158
1,0,0,1,1,0,1,0,0,0,0,0,0,0,14,11,1,1,1,0.05502460723062974,1,malicious,0.4330936464954461,0.028488320678420394,-1.0801276001891726
1,0,3,0,0,0,0,0,0,0,0,0,0,0,35,15,1,2,2,98.7301823827164,1,malicious,0.8915703750321874,-0.3245982047648207,0.3156792995513324
6,0,0,0,0,1,1,0,0,0,0,0,0,0,25,9,9,4,6,23.796942340825698,1,malicious,-1.2621667683814162,0.15484978030740285,0.31028280835436467
13,0,2,1,0,1,0,1,0,0,0,0,0,0,111,24,18,39,23,25.169463515790113,1,malicious,-0.27791071115255805,2.3568902950894355,1.137714656362817
1,0,0,1,1,0,1,0,0,0,0,0,0,0,28,7,0,1,1,163.82894936716087,1,malicious,0.8548119915425246,0.027579090064090095,-0.8280305360762383
1,0,0,0,1,0,1,0,0,0,0,0,0,0,7,1,0,1,0,24.6342038292526,1,malicious,1.351158377868083,0.8268147472467426,-1.0918269173365738
1,0,0,1,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,7.183938324175969,1,malicious,0.549561288120121,0.22105241895314856,0.681577820852196
0,0,0,1,1,0,1,0,0,0,0,0,0,0,18,8,1,1,1,17.256737729648826,1,malicious,0.7338462527612114,-0.6389855408716332,0.8630203794301632
3,0,1,1,1,1,1,1,0,0,1,0,0,0,88,34,3,3,3,171.42254382658555,1,malicious,-1.0928313205338793,-0.5701866435549579,-1.1883568421709017
26,0,2,0,1,1,1,0,0,0,0,0,0,0,67,34,0,0,1,285.32903669936655,1,malicious,-1.911350547981809,-0.41564327040329113,2.0298627735377144
6,0,0,1,1,0,1,0,0,0,0,0,0,0,27,9,1,1,1,107.56590399796117,1,malicious,-0.06907516810560033,1.9933186118374888,0.7038435294363304
1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,1,2,1,133.0098047744893,1,malicious,-2.267748314292601,-0.2598940442061908,0.5963470194961549
1,0,0,1,1,0,1,1,0,0,0,0,0,0,18,2,1,1,1,0.0,1,malicious,0.15862416534182266,1.5773291808198433,0.10256211106941165
1,0,1,1,1,0,1,0,0,0,0,0,0,0,16,3,1,2,1,8.500744742543896,1,malicious,-0.25894288712232905,-0.3499526750457763,0.936263907976009
2,0,0,1,1,0,1,1,0,0,0,0,0,0,16,3,1,1,1,0.0,1,malicious,-0.49162126024815633,0.06293595100202198,2.001311463234907
0,0,0,1,1,0,1,0,0,0,0,0,0,0,14,4,1,1,1,1.5435567306514884,1,malicious,0.6902554276273705,-0.23915819825337734,-1.5486231330829157
1,0,0,1,1,0,1,0,0,0,0,0,0,0,6,2,0,1,0,0.0,1,malicious,-0.6588222051784203,-0.2982637964889981,-1.0016681673660504
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,2,34.95597842213727,0,benign,-1.3689027281234538,-0.13968883354145095,-0.9322646285724294
1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,7,1,1,1,343.2406825762992,1,malicious,0.2881100180557936,-0.13947187467924294,-0.580073967718146
1,0,0,1,1,0,1,1,0,0,0,0,0,0,15,3,1,1,1,12.627521203683983,1,malicious,1.7563299336327685,0.744508268086748,-0.9871241476472834
1,0,0,1,1,0,1,0,0,0,0,0,0,0,6,1,0,1,0,0.0,1,malicious,0.7032150075031388,-1.7735359955836556,0.4653770299949273
14,0,0,1,1,0,1,0,0,0,0,0,0,0,25,5,1,1,1,8.28534500808431,1,malicious,1.0833512697939391,2.4178161474011337,-0.32477759317085797
