Page,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,obj,stream,xref,trailer,startxref,filesize_kb,Colors_gt_224
3,0,1,1,1,1,1,0,0,0,1,0,0,566,149,4,3,4,2909.0530662405718,0
1,0,0,1,1,0,0,0,0,0,0,0,0,64,4,1,1,1,17.11595951482245,0
18,1,0,4,5,0,0,1,0,1,0,9,1,88,34,1,1,2,690.5745497509437,0
0,0,0,0,0,0,0,1,0,0,0,0,0,63,32,0,0,1,49.24557493854395,0
0,0,0,1,2,0,0,0,0,0,0,0,0,51,3,1,1,1,69.03513264662901,0
2,0,0,0,0,0,0,0,0,0,0,0,0,47,7,2,0,2,47.900165821548875,0
1,0,0,1,2,0,1,0,0,0,0,0,0,20,2,1,1,1,3.051998015239434,0
2,0,1,1,0,0,0,0,0,0,0,0,0,64,24,0,2,2,166.90909125217658,0
3,0,0,1,1,0,1,0,0,0,0,0,0,27,2,1,1,1,5.001688528768218,0
4,0,6,0,0,0,0,0,0,0,0,0,0,533,55,30,7,12,227.36584676357262,0
5,0,0,0,0,0,0,0,0,0,0,0,0,92,4,10,1,1,12.640498437682497,0
3,0,0,1,1,0,1,1,0,0,0,0,0,58,3,1,1,1,70.17290591511427,0
23,0,4,0,0,0,0,0,0,0,0,0,0,262,59,22,30,12,256.4222242478779,0
0,0,0,2,1,0,1,0,0,0,0,0,0,16,4,1,1,1,30.730838176839335,0
3,0,0,2,1,0,1,0,0,0,0,0,0,40,3,1,1,0,240.59350889333766,0
3,0,2,19,0,0,0,0,0,0,0,8,0,23,32,2,2,2,189.03428571561005,0
0,0,0,0,1,0,1,0,0,0,0,0,0,21,2,1,1,1,52.99178183030742,0
0,0,0,1,2,0,0,0,0,0,0,0,0,4,1,1,1,1,37.01291870358442,0
2,0,0,1,1,0,1,0,0,0,0,0,0,43,6,1,1,1,26.461177180505295,0
14,1,0,4,5,0,0,1,0,1,0,9,1,76,28,1,1,2,834.4543014187022,0
0,0,7,0,0,0,0,0,0,0,0,8,0,133,59,30,0,15,54.12137854718014,0
2,0,0,0,0,0,0,0,0,0,0,0,0,69,10,2,2,2,74.92146011320625,0
1,0,0,1,2,0,1,0,0,0,0,0,0,4,0,1,1,1,34.077322977075134,0
1,0,0,1,2,0,1,0,0,0,0,0,0,19,4,1,1,1,18.203073730468635,0
1,0,0,1,3,0,1,1,0,0,0,1,0,12,1,0,1,1,36.393495851492915,0
3,0,0,2,3,0,1,0,0,0,0,0,0,44,6,1,1,1,12.780249882141582,0
23,0,1,19,1,1,1,15,0,0,1,0,1,299,96,22,22,4,342.126002722001,0
2,0,1,0,0,0,0,0,0,0,0,0,0,65,12,2,2,2,97.8241961696735,0
27,0,0,0,0,1,2,0,0,0,0,1,1,1,4,9,15,2,33.773884362017625,0
2,0,0,3,0,0,0,0,0,0,0,0,0,10,1,1,1,1,6.658549214518349,0
1,0,0,1,2,0,0,1,0,0,0,0,0,2,1,0,1,1,27.110072992843016,0
1,0,0,0,0,0,1,0,0,0,0,1,1,62,7,1,0,6,52.06439624788811,0
1,0,1,0,0,0,0,0,0,0,0,0,0,63,7,2,2,2,128.85201716690491,0
8,1,0,4,5,0,0,1,0,1,0,9,1,98,22,1,1,2,594.6010820881918,0
1,0,0,3,3,0,0,0,0,0,0,0,0,55,4,1,1,1,53.356722291445124,0
3,0,0,0,3,0,1,1,0,0,0,0,0,68,1,1,1,1,70.36614767594575,0
3,0,2,0,0,10,1,1,0,0,0,1,1,6,1,0,0,1,22.989960853387803,0
2,0,1,5,0,0,0,0,0,0,0,0,0,298,6,2,2,2,12.279713661873728,0
36,0,1,1,1,1,1,0,0,0,1,0,0,654,234,4,4,4,2245.2890881191374,0
1,0,0,1,2,0,1,0,0,0,0,0,0,0,3,1,1,1,177.3335697866199,0
1,0,0,2,3,0,1,1,0,0,0,0,0,23,2,1,1,1,63.43813450538501,0
1,0,0,1,2,0,0,0,0,0,0,0,0,51,19,6,3,0,45.27868591237494,0
2,0,0,0,0,0,0,0,0,0,0,0,0,19,6,2,2,2,200.4241024913233,0
13,0,1,0,0,3,1,0,0,0,0,0,0,299,165,30,5,12,346.76882150530986,0
5,0,0,1,6,0,0,0,0,0,1,0,0,68,7,7,10,4,53.8086549225516,0
0,0,0,2,3,0,1,0,0,0,0,0,0,16,6,1,1,1,88.03559322598983,0
3,0,0,2,3,0,1,1,0,0,0,0,0,66,5,1,1,1,76.89376394708766,0
1,0,0,1,0,0,1,0,0,0,0,0,0,38,3,1,1,1,37.491861790334305,0
2,0,1,0,1,1,1,5,0,0,1,0,0,46,30,12,3,1,261.8643639164195,0
3,0,1,1,1,1,1,0,0,0,1,0,0,80,65,3,3,3,760.8666453584317,0
2,0,0,1,2,0,1,0,0,0,0,0,0,11,1,1,1,1,20.722603228086445,0
3,0,1,0,1,1,1,0,0,0,1,0,0,51,135,3,3,3,308.4760623261722,0
23,0,4,2,0,0,0,1,0,0,0,0,0,36,25,1,1,1,231.18245014989293,0
2,0,0,0,0,0,0,0,0,0,0,0,0,61,8,2,1,6,68.76881934958345,0
0,0,0,1,1,0,0,0,0,0,0,0,0,50,1,1,1,1,9.909944540101424,0
8,0,0,0,0,3,2,3,0,0,0,1,1,5,4,9,15,6,28.494117582606464,0
1,0,0,1,2,0,0,0,0,0,0,0,0,23,1,0,1,1,19.305557441843376,0
1,0,1,0,0,0,0,0,0,0,0,0,0,41,7,2,2,2,208.1443314524683,0
1,0,0,1,2,0,0,0,0,0,0,0,0,46,2,1,1,0,58.62798776122749,0
1,0,0,0,0,0,0,5,0,0,0,0,0,37,1,1,1,1,60.920763667419024,0
22,1,0,4,5,0,0,1,0,1,0,9,1,104,38,1,1,2,802.9124973926591,0
2,0,0,0,0,0,0,0,0,0,0,0,0,28,2,22,7,15,189.28577043984262,0
2,0,1,0,0,0,0,0,0,0,0,0,0,91,26,0,0,2,686.526736711897,0
1,0,0,0,0,0,1,1,0,0,0,0,0,19,6,1,1,1,1.615449924944425,0
6,0,0,1,1,0,0,0,0,0,0,0,0,38,92,0,0,3,346.20702105845373,0
1,0,6,0,2,0,0,1,0,0,0,0,0,43,5,0,0,1,55.56425835138525,0
3,0,0,1,4,0,0,0,0,0,0,0,0,40,1,1,1,1,35.525821697442595,0
0,0,0,1,2,0,1,0,0,0,0,0,0,24,3,1,1,1,26.131638284157575,0
1,0,0,2,1,0,1,1,0,0,0,0,0,28,2,0,1,1,52.24433413486541,0
2,0,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,19.461977729613896,0
2,0,0,1,2,0,0,0,0,0,0,0,0,9,0,1,1,1,59.81695935745482,0
2,0,0,1,2,0,0,0,0,0,0,0,0,26,0,1,1,1,29.215613291234334,0
2,0,0,0,0,0,2,1,0,0,0,1,1,25,4,0,0,1,44.57443680596532,0
26,0,1,1,1,1,1,0,0,0,1,0,0,85,194,3,3,4,2869.4595047670546,0
1,0,0,1,0,0,0,0,0,0,0,0,0,59,2,0,0,2,65.43000414011061,0
2,0,0,1,1,0,1,0,0,0,0,0,0,57,6,1,1,1,63.067142541223376,0
1,0,0,1,3,0,0,0,0,0,0,0,0,36,2,1,1,1,49.21481675950503,0
0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,1,1,1,4.246850598518208,0
3,0,0,0,0,0,0,0,0,0,0,0,0,72,26,0,0,1,15.476713736721138,0
2,0,1,0,0,1,2,0,0,0,0,0,0,372,144,10,0,4,304.5156097104182,0
1,0,0,1,1,0,1,0,0,0,0,0,0,34,1,1,1,1,0.8705586720800653,0
1,0,6,0,0,0,0,0,0,0,0,0,0,51,30,0,0,2,257.0555523975486,0
0,1,0,4,5,0,0,1,0,1,0,9,1,81,20,1,1,2,52.14877988627764,0
8,1,0,4,5,0,0,1,0,1,0,9,1,88,41,1,1,2,646.6224517630491,0
2,0,0,1,2,0,1,0,0,0,0,0,0,8,1,0,1,1,3.1675425406029234,0
4,0,0,1,2,0,1,0,0,0,0,0,0,38,5,1,1,1,34.13374380997485,0
1,0,1,0,0,0,0,0,0,0,0,0,0,24,8,2,2,2,119.66370359245118,0
3,0,0,3,6,0,1,0,0,0,0,0,0,28,7,1,1,1,45.74380813535404,0
1,0,0,0,0,0,0,1,0,0,0,0,0,68,21,6,0,1,27.011475759746048,0
2,0,0,1,2,1,0,0,0,0,0,0,0,75,5,0,0,3,72.24920635222178,0
1,0,0,1,1,0,1,1,0,0,0,0,0,29,1,0,1,1,1.5469387839947863,0
2,0,0,0,0,1,2,3,0,0,0,1,1,13,3,9,3,6,27.78396572114891,0
1,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,1,1,24.722949147869116,0
16,1,0,4,5,0,0,0,0,1,0,9,1,100,6,1,1,2,557.4437247486875,0
1,0,0,0,0,0,0,0,0,0,0,0,0,59,7,2,2,2,158.41623000085355,0
2,0,0,1,1,0,0,0,0,0,0,0,0,16,3,1,1,1,20.439125865809327,0
0,0,0,1,2,0,0,0,0,0,0,0,0,40,4,0,0,0,45.16301440703194,0
1,0,0,1,1,0,1,1,0,0,0,1,1,17,3,1,1,1,53.55463328752349,0
5,0,1,1,1,1,1,2,0,0,1,0,0,102,172,3,3,4,1599.2891014565637,0
0,0,4,0,0,0,0,9,0,0,0,0,1,111,66,22,0,1,262.3416967355861,0
2,0,0,1,2,0,1,0,0,0,0,0,0,37,14,33,0,39,62.385358007190376,0
2,0,0,2,1,0,1,1,0,0,0,0,0,52,2,18,0,1,176.79867653479477,0
5,0,1,19,1,1,1,2,0,0,1,0,0,98,186,3,4,3,2147.6184435683417,0
1,0,1,0,0,0,0,1,0,0,0,0,0,92,23,2,0,7,47.69556298054986,0
0,0,2,0,0,0,0,1,0,0,0,0,0,79,15,0,0,1,849.3680868775189,0
3,1,0,0,0,0,0,1,0,1,0,0,0,102,45,1,1,2,240.71441482423842,0
1,0,0,0,0,0,0,0,0,0,0,0,0,26,5,2,2,2,307.3683498457521,0
1,0,0,5,4,4,0,0,0,0,0,0,1,34,3,1,1,1,22.415925180975677,0
2,0,0,1,2,0,1,0,0,0,0,0,0,58,3,1,1,2,5.415600242997179,0
1,0,0,0,2,0,1,0,0,0,0,0,0,50,4,1,1,1,5.489961533003232,0
10,1,0,4,5,0,0,1,0,1,0,9,1,84,35,1,1,2,680.4987725754829,0
0,0,0,1,3,0,1,1,0,0,0,0,0,37,0,1,1,1,5.46205858950378,0
3,0,0,3,1,0,4,0,0,0,0,0,0,50,6,1,1,1,76.50426192991158,0
18,1,0,4,5,0,0,1,0,1,0,9,1,75,28,1,1,1,545.9180488481663,0
2,0,0,1,1,0,1,0,0,0,0,0,0,23,6,1,1,1,7.8502013853233485,0
25,0,0,1,1,1,1,0,0,0,1,0,0,61,164,3,10,4,2273.27486674415,0
0,0,0,0,0,0,1,0,0,0,0,0,0,53,2,1,1,1,50.58168730703852,0
4,0,1,1,0,0,0,0,0,0,0,0,0,47,5,2,2,2,178.2046824852187,0
6,1,0,4,5,0,0,0,0,1,0,9,1,57,30,1,1,2,189.26365006203943,0
3,0,2,0,0,0,0,1,0,0,0,0,0,68,19,0,0,33,62.56829987768316,0
1,0,0,1,2,0,0,1,0,0,0,0,0,45,1,1,1,1,3.9427426175686637,0
3,0,1,0,0,0,0,0,0,0,0,0,0,76,10,2,2,2,222.142835292401,0
0,0,0,1,2,0,1,0,0,0,0,0,0,27,1,1,1,1,19.16482485029254,0
1,0,0,1,2,0,1,0,0,0,0,0,0,21,1,1,1,0,21.715931327869686,0
13,1,0,4,5,0,0,0,0,1,0,9,0,93,33,1,1,2,395.887466541049,0
1,0,0,3,2,0,0,0,0,0,0,0,0,40,6,1,1,0,75.58298952650627,0
1,0,0,1,1,2,1,0,0,0,0,0,0,5,39,10,6,1,22.019769639622748,0
2,1,0,4,5,0,0,1,0,1,0,9,1,65,34,1,1,2,74.2814991564274,0
19,1,0,4,5,0,0,1,0,1,0,9,1,77,35,1,1,2,2340.715632092292,0
3,0,1,0,0,0,0,0,0,0,0,0,0,41,14,2,2,2,206.39852787954996,0
2,0,1,0,1,1,1,0,0,0,1,0,0,43,126,3,3,4,299.3822078158659,0
0,0,1,0,0,0,0,1,0,0,0,0,0,259,5,10,15,10,95.35669335497231,0
5,0,1,0,0,0,1,0,0,0,0,0,0,71,6,2,3,2,252.80402906390754,0
2,0,0,1,2,0,1,0,0,0,0,0,0,11,0,1,1,1,21.597024490558535,0
1,0,0,0,3,0,1,1,0,0,0,1,0,7,1,0,1,1,34.89525544514844,0
4,0,0,5,6,0,0,0,0,0,0,0,0,61,4,1,1,1,294.1557554467744,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,14.61514505218604,0
0,0,0,5,0,0,0,0,0,0,0,0,0,39,2,1,1,0,36.680095107266496,0
1,0,0,1,2,0,0,0,0,0,0,0,0,41,2,0,1,1,33.64911020614281,0
0,0,0,3,2,0,0,1,0,0,0,0,0,51,2,1,1,1,11.721679015381536,0
1,0,0,0,2,0,1,0,0,0,0,0,0,11,1,1,1,1,3.257312461113653,0
1,0,0,1,1,0,1,0,0,0,0,0,0,6,1,1,1,1,42.38141999968333,0
4,0,1,1,1,1,1,0,0,0,1,0,0,103,175,3,4,3,3131.069751678412,0
2,0,0,0,2,0,0,0,0,0,0,0,0,21,3,1,1,1,32.126984865650805,0
3,0,6,0,0,4,4,9,0,0,0,0,0,259,119,31,4,12,2389.0879445218734,0
1,0,0,1,2,0,0,0,0,0,0,0,0,10,4,1,1,1,41.650022573652535,0
3,0,0,5,3,0,1,1,0,0,0,0,0,46,20,10,1,1,74.80072754867956,0
3,0,1,1,1,1,1,0,0,0,1,0,0,69,126,7,4,4,464.78321637049913,0
2,0,1,0,0,0,0,0,0,0,0,0,0,4,9,2,2,2,224.39463887045204,0
1,0,0,1,1,0,1,0,0,0,0,0,0,33,4,1,1,3,23.18954345019655,0
6,0,1,1,1,1,1,0,0,0,1,0,0,103,207,4,4,3,3126.1465392599202,0
0,0,0,4,0,0,0,1,0,0,0,0,0,38,8,0,0,1,46.67748466875865,0
7,1,0,4,5,0,0,1,0,1,0,9,1,352,29,1,1,15,212.7130620035478,0
1,0,0,1,1,0,1,0,0,0,0,0,0,27,2,0,0,1,3.117282567699476,0
0,0,0,4,4,0,0,0,0,1,0,0,0,48,43,1,1,1,1677.7513761487594,0
0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,2,2,2,12.246353941755203,0
2,0,0,2,2,0,0,1,0,0,0,0,0,18,2,0,1,1,11.529814987327839,0
0,0,0,0,1,0,1,1,0,0,0,0,0,27,2,0,1,1,47.64798721022349,0
0,0,0,1,2,0,0,1,0,0,0,0,0,4,1,0,1,0,17.136738654720922,0
2,0,2,5,19,0,0,0,1,0,0,0,0,253,18,10,6,1,212.60892187014423,0
2,0,0,0,0,0,0,0,0,0,0,0,0,44,7,2,0,2,7.7807995705173685,0
2,0,0,0,0,0,1,0,0,0,0,0,0,8,7,5,31,2,30.238834292196064,0
3,0,0,0,3,0,1,0,0,0,0,0,0,49,6,1,1,1,31.25767539086424,0
4,0,0,1,1,0,1,1,0,0,0,0,0,33,4,1,1,1,38.851699461002156,0
1,0,0,1,2,0,0,0,0,0,0,0,0,17,5,0,1,1,5.4816093613604,0
2,0,0,1,1,0,1,1,0,0,0,0,0,26,7,1,1,1,63.25787735445921,0
0,0,6,0,0,0,1,1,0,0,0,1,1,38,25,5,0,1,349.5007810503438,0
52,0,0,0,0,3,2,3,0,0,0,1,1,31,6,9,15,6,81.61769128515178,0
25,0,0,19,0,0,1,0,0,0,0,0,0,246,101,30,7,10,211.56963342052072,0
3,0,0,1,2,0,1,0,0,0,0,0,0,44,1,1,1,1,48.48849490465558,0
0,0,0,1,1,0,1,0,0,0,0,0,0,49,0,1,1,1,26.910693564001498,0
4,1,0,4,5,0,0,1,0,0,0,9,1,64,25,1,0,1,292.81113729378126,0
1,0,0,0,3,0,1,1,0,0,0,0,0,35,6,1,10,1,33.20812052827131,0
2,0,60,0,0,0,0,0,0,0,0,0,0,47,17,0,3,0,38.42570883971142,0
2,0,0,0,3,0,1,1,0,0,0,1,0,48,0,1,1,1,26.463381190149804,0
9,0,6,0,0,0,0,5,0,0,0,1,1,83,1,22,30,7,205.63438890722114,0
3,0,0,1,2,0,0,0,0,0,0,0,0,68,5,1,1,2,57.149012031775754,0
1,0,0,1,2,0,0,0,0,0,0,0,0,9,6,1,1,3,44.137025759506585,0
2,0,0,1,2,0,0,0,0,0,0,0,0,49,1,0,0,0,73.12990321017163,0
1,0,2,1,2,0,0,0,0,0,0,0,0,23,3,0,0,0,12.149187500927457,0
2,0,0,1,1,0,1,0,0,0,0,0,0,18,2,1,1,0,70.45436610971674,0
0,0,0,1,2,0,0,0,0,0,0,0,0,24,1,1,1,1,22.375138758054234,0
0,0,60,0,0,0,2,1,0,0,0,1,1,42,10,2,15,2,63.353152247092055,0
0,0,0,2,6,0,0,1,0,0,0,0,0,33,13,1,1,1,202.84050812112835,0
1,0,0,1,1,0,2,0,0,0,0,0,0,22,5,0,1,1,26.609118833643358,0
1,0,1,0,0,0,0,0,0,0,0,0,0,29,20,0,2,2,43.58271590992285,0
2,0,0,0,0,0,0,0,0,0,0,0,0,72,7,2,2,2,13.189471436637056,0
1,0,0,0,2,0,0,0,0,0,0,0,0,49,4,1,1,2,24.989451100884246,0
3,0,1,0,0,0,0,0,0,0,0,0,0,63,7,2,2,2,380.03906344133793,0
0,0,0,4,2,0,0,0,0,0,0,0,0,47,5,1,1,1,430.20520610502933,0
1,0,0,1,1,0,0,0,0,0,0,0,0,37,2,1,1,0,80.59594506595218,0
1,0,0,1,0,0,0,0,0,0,0,0,0,45,5,0,1,1,51.15290493090518,0
2,0,0,3,2,0,0,0,0,0,0,0,0,6,3,0,1,1,5.551900943022867,0
1,0,0,0,6,0,1,1,0,0,0,0,1,74,5,1,1,1,74.51541441869854,0
3,0,0,0,0,0,0,0,0,0,0,0,0,73,4,2,30,2,343.1556339767685,0
0,0,0,2,3,0,1,1,0,0,0,0,0,49,3,1,1,1,62.666368329865406,0
0,0,6,0,0,1,1,5,0,0,0,0,1,54,4,5,6,4,73.18248017769135,0
0,0,0,1,2,0,1,0,0,0,0,0,0,1,5,1,1,1,16.751083060664403,0
1,0,0,1,2,0,0,0,0,0,0,0,0,19,5,1,1,1,9.714583120611833,0
3,0,0,1,2,0,1,0,0,0,0,0,0,36,3,1,1,1,37.374381727283,0
2,0,0,1,2,0,0,0,0,0,0,0,0,65,6,0,1,0,63.15299189137649,0
3,0,0,1,1,1,1,1,0,0,0,0,0,73,1,1,1,1,2060.7416375427138,0
83,0,1,0,0,4,4,5,0,0,0,0,0,22,7,2,10,6,19.12796539661271,0
1,0,0,0,0,0,0,0,0,0,0,0,0,45,4,1,1,2,15.018013136196263,0
23,1,0,4,5,0,0,1,0,1,0,0,1,73,26,1,1,2,719.61490632894,0
4,1,0,4,5,0,0,1,0,1,0,9,1,98,31,1,1,2,2244.6588566373985,0
1,0,0,0,0,0,0,0,0,0,0,0,0,76,9,2,2,2,310.16918703518525,0
28,0,0,1,1,1,1,1,0,0,0,0,0,34,79,1,3,4,370.699577165208,0
3,0,7,1,1,1,1,0,0,0,1,0,0,89,124,3,3,3,2180.573909827839,0
1,0,0,2,0,0,1,1,0,0,0,1,1,25,11,1,0,1,70.5242486344452,0
1,0,1,0,0,0,0,0,0,0,0,0,0,59,10,2,2,2,146.6219629809962,0
6,0,0,1,1,1,1,0,0,0,1,0,0,96,244,4,3,4,2781.5728048587684,0
44,0,0,0,0,1,2,3,0,0,0,1,1,79,5,9,15,6,54.48915151679233,0
1,0,0,2,3,0,1,1,0,0,0,0,0,3,2,1,1,1,28.923264563388106,0
42,0,0,0,0,3,2,3,0,0,0,1,1,38,0,9,2,6,32.98770323782305,0
31,0,2,0,0,0,0,0,0,0,0,0,0,62,69,1,7,33,282.57523891565586,0
1,0,2,0,0,0,0,0,0,0,0,0,0,78,25,0,0,1,646.2283442270893,0
1,0,2,0,0,0,2,5,0,0,0,1,1,64,3,31,0,6,80.4872284354874,0
2,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,1,2,32.937764732877774,0
0,0,6,19,0,0,0,1,0,0,0,8,0,2,13,0,0,1,123.32508756627188,0
4,0,0,1,4,0,0,0,0,0,0,0,0,22,3,1,1,1,24.112076583398515,0
1,0,0,1,2,0,0,0,0,0,0,0,0,3,2,0,0,1,8.814021668855968,0
22,1,0,4,5,0,0,1,0,1,0,9,1,93,28,1,1,2,2388.4516352002047,0
4,0,0,0,0,3,2,0,0,0,0,1,0,43,6,0,15,6,56.02893614443603,0
2,0,0,0,0,0,0,0,0,0,0,1,1,29,27,0,0,3,65.36909728593444,0
1,0,0,1,2,0,1,0,0,0,0,0,0,36,5,1,1,0,16.93942990654542,0
5,0,0,1,2,0,0,0,0,0,0,0,0,3,1,1,1,1,71.2456908300817,0
0,0,1,0,0,0,0,0,0,0,0,0,0,44,8,0,0,1,29.366143521954882,0
1,0,0,2,3,0,1,1,0,0,0,0,0,45,3,1,1,1,41.15969845273833,0
0,0,0,1,2,0,0,1,0,0,0,0,0,4,2,0,1,0,24.818778217412568,0
2,0,0,1,2,0,1,0,0,0,0,0,0,4,2,1,1,1,43.28314707323115,0
2,0,0,1,2,0,1,0,0,0,0,0,0,16,1,1,1,1,3.426079737892689,0
2,0,3,0,0,0,0,0,0,0,0,0,0,50,2,2,2,2,367.5432262833144,0
0,0,0,1,1,0,0,0,0,0,0,0,0,23,0,1,1,1,104.11497526553367,0
1,0,0,3,1,0,1,0,0,0,0,0,0,55,4,1,1,1,36.91896440273858,0
4,0,7,1,1,0,0,0,0,0,0,0,0,391,123,10,22,4,372.2897315864243,0
16,1,0,4,5,0,1,1,0,1,0,9,1,87,30,1,1,1,837.4013728231014,0
3,0,5,0,0,0,0,0,0,0,0,0,0,447,71,2,22,2,221.6406969714907,0
2,0,0,1,2,0,0,0,0,0,0,0,0,22,1,0,1,0,18.965428875506174,0
0,0,0,1,2,0,1,0,0,0,0,0,0,57,4,1,1,1,30.93982364113147,0
15,1,0,4,5,0,0,1,0,1,0,9,1,88,27,1,1,2,413.3673321069023,0
2,0,0,1,1,1,1,0,0,0,0,0,0,27,2,5,1,1,24.65495907833543,0
3,0,1,1,1,0,1,0,0,0,0,0,0,41,6,1,1,1,266.3582243486651,0
0,0,0,1,2,0,0,0,0,0,0,0,0,84,5,0,1,0,17.0110667957409,0
3,0,1,0,0,0,0,0,0,0,0,0,0,319,95,2,2,2,62.93180811624376,0
5,1,0,4,5,0,0,1,0,1,0,9,1,84,24,1,0,2,1690.1429369750842,0
1,0,0,1,4,0,1,0,0,0,0,0,0,49,7,1,1,1,31.083815309906633,0
0,0,0,1,1,0,1,0,0,0,0,0,0,30,3,1,1,1,1.7092137558209863,0
38,0,1,1,1,1,1,2,0,0,1,0,0,646,136,4,3,4,331.64668096006477,0
1,0,0,2,3,0,1,0,0,0,0,0,0,38,5,1,1,1,49.84724598949869,0
1,0,0,1,1,10,1,0,0,0,0,0,0,24,6,12,22,4,138.61263592427565,0
0,0,0,2,3,0,1,1,0,0,0,0,0,43,5,1,1,1,7.929249143573507,0
3,0,2,0,19,0,1,0,0,0,0,0,0,51,51,22,22,12,146.16763016206298,0
1,0,0,1,1,0,1,0,0,0,0,0,0,7,1,1,1,1,4.2245674261123245,0
3,0,0,0,0,0,0,0,0,0,0,0,0,65,5,2,0,1,41.18449945673811,0
1,0,0,0,0,0,2,0,0,0,0,1,1,5,6,1,7,1,63.960798613083014,0
11,0,0,4,5,1,0,0,0,0,0,0,0,384,17,18,30,1,246.09958420544984,0
2,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,1,18.694968222709885,0
3,0,0,1,2,0,0,0,0,0,0,0,0,47,4,1,1,3,1741.3634670118165,0
13,0,2,13,0,0,0,0,0,0,0,0,0,227,16,22,22,12,252.45836356150414,0
2,0,0,2,3,0,1,1,0,0,0,0,0,41,7,1,1,1,27.589072313583827,0
22,0,2,13,19,10,0,5,0,0,0,0,0,206,51,3,22,12,113.77079734349701,0
30,0,0,0,0,10,1,1,0,0,0,1,1,55,50,22,0,6,2.4130243912913123,0
1,0,2,1,2,0,0,0,0,0,0,0,0,82,8,0,0,0,91.2740108076561,0
0,0,1,0,0,0,0,0,0,0,0,0,0,12,75,0,0,1,132.12720287548728,0
0,0,0,1,2,0,0,0,0,0,0,0,0,12,3,1,1,1,50.83171451471091,0
2,0,0,1,2,0,1,0,0,0,0,0,0,4,2,1,1,1,5.119107432819362,0
1,0,0,1,4,0,0,0,0,0,0,0,0,32,3,1,1,1,9.134791237118119,0
2,0,0,1,1,0,1,1,0,0,0,0,0,32,2,1,1,4,22.671546310245805,0
1,0,3,0,0,10,0,0,0,0,0,0,0,122,84,0,0,1,184.9016718627879,0
3,0,0,0,0,4,0,0,0,0,0,0,0,80,29,6,10,31,70.7525042176292,0
2,0,7,0,0,0,0,0,0,0,0,0,0,103,35,18,0,1,150.92703659414758,0
4,1,0,4,5,0,0,1,0,1,0,9,0,89,28,6,0,2,707.5047149449856,0
1,0,0,0,6,0,0,0,0,0,0,0,0,83,8,1,18,1,79.89918777833418,0
0,0,1,0,0,0,0,0,0,0,0,0,0,30,8,2,2,2,176.66105330127212,0
1,0,1,1,2,0,0,1,0,0,0,0,0,50,0,0,1,1,52.50385581700641,0
1,0,0,2,3,0,1,1,0,0,0,0,0,56,1,1,1,0,5.160600862126767,0
1,0,0,1,3,0,0,1,0,0,0,0,0,12,2,1,1,1,48.002990580963974,0
