Page,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors_gt_224,obj,endobj,stream,endstream,xref,trailer,startxref,filepath,filename,filesize_kb,label
8,0,1,0,0,0,0,0,0,0,0,0,0,0,46,46,12,12,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-08-27.pdf,rp-08-27.pdf,24.4453125,benign
1,0,4,0,0,0,0,0,0,0,0,0,0,0,14,14,11,11,0,0,2,/home/remnux/Desktop/extraction/data/Benign/Aaron_Michael_Boatman.pdf,Aaron_Michael_Boatman.pdf,96.7802734375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/brainspr.pdf,brainspr.pdf,73.8046875,benign
22,0,0,0,0,0,0,0,0,0,0,1,0,0,91,91,27,27,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-11-36.pdf,n-11-36.pdf,86.978515625,benign
1,0,0,0,0,0,1,0,0,0,0,0,0,0,43,43,5,5,2,2,2,/home/remnux/Desktop/extraction/data/Benign/a-03-18.pdf,a-03-18.pdf,36.9990234375,benign
2,0,13,0,0,0,0,2,0,0,0,8,0,0,93,93,87,87,0,0,3,/home/remnux/Desktop/extraction/data/Benign/f1040prh.pdf,f1040prh.pdf,98.9267578125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,3,2,2,2,/home/remnux/Desktop/extraction/data/Benign/amhrst.pdf,amhrst.pdf,24.9150390625,benign
3,0,3,0,0,0,0,0,0,0,0,0,0,0,36,36,13,13,2,2,2,/home/remnux/Desktop/extraction/data/Benign/fplp-pia.pdf,fplp-pia.pdf,29.3916015625,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,4,2,2,2,/home/remnux/Desktop/extraction/data/Benign/chrfibsc.pdf,chrfibsc.pdf,16.994140625,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,28,28,16,16,2,2,2,/home/remnux/Desktop/extraction/data/Benign/brailleinc.pdf,brailleinc.pdf,85.353515625,benign
4,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,10,10,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-03-36.pdf,n-03-36.pdf,62.5166015625,benign
2,0,6,0,0,0,0,0,0,0,0,0,0,0,29,29,25,25,0,0,2,/home/remnux/Desktop/extraction/data/Benign/bsa_letter_regarding_exemption_4_5.pdf,bsa_letter_regarding_exemption_4_5.pdf,59.216796875,benign
5,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,19,19,2,2,2,/home/remnux/Desktop/extraction/data/Benign/084602f.pdf,084602f.pdf,27.884765625,benign
10,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,13,13,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rr-07-19.pdf,rr-07-19.pdf,23.4755859375,benign
25,0,0,0,0,0,1,0,0,0,0,0,0,0,539,539,31,31,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-02-27.pdf,rp-02-27.pdf,135.892578125,benign
5,0,4,0,0,0,0,1,0,0,0,0,0,0,36,36,29,29,0,0,2,/home/remnux/Desktop/extraction/data/Benign/75fr67777.pdf,75fr67777.pdf,66.947265625,benign
12,0,2,0,0,0,0,0,0,0,0,0,0,0,52,52,18,18,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-08-35.pdf,n-08-35.pdf,35.810546875,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/atlnetbd.pdf,atlnetbd.pdf,61.5673828125,benign
1,0,5,0,0,0,0,1,0,0,0,0,0,0,34,34,31,31,0,0,2,/home/remnux/Desktop/extraction/data/Benign/bobr.pdf,bobr.pdf,199.9150390625,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/purepdf_imagebitmapdata.pdf,purepdf_imagebitmapdata.pdf,322.255859375,benign
8,0,0,0,0,0,1,0,0,0,0,0,0,0,41,41,10,10,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rr-01-60.pdf,rr-01-60.pdf,20.0908203125,benign
3,0,42,0,0,0,0,2,0,0,0,8,0,0,77,77,70,70,0,0,3,/home/remnux/Desktop/extraction/data/Benign/f940sr.pdf,f940sr.pdf,156.4013671875,benign
4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,6,6,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rr-07-57.pdf,rr-07-57.pdf,11.03125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/cardsauc.pdf,cardsauc.pdf,72.01953125,benign
5,0,4,0,0,0,0,0,0,0,0,0,0,0,41,41,16,16,2,2,2,/home/remnux/Desktop/extraction/data/Benign/futa-pia.pdf,futa-pia.pdf,44.8681640625,benign
24,0,11,0,0,0,0,0,0,0,0,0,0,0,291,291,44,44,2,2,2,/home/remnux/Desktop/extraction/data/Benign/2012_4f_faqs.pdf,2012_4f_faqs.pdf,190.365234375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,3,2,2,2,/home/remnux/Desktop/extraction/data/Benign/brntreld.pdf,brntreld.pdf,29.3505859375,benign
2,0,6,0,0,0,0,0,0,0,0,0,0,0,32,32,28,28,0,0,2,/home/remnux/Desktop/extraction/data/Benign/21-james-r-fruchterman.pdf,21-james-r-fruchterman.pdf,54.5986328125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1,1,1,1,/home/remnux/Desktop/extraction/data/Benign/purepdf_generictag.pdf,purepdf_generictag.pdf,1.208984375,benign
2,0,8,0,0,0,0,1,0,0,0,0,0,0,74,74,70,70,0,0,2,/home/remnux/Desktop/extraction/data/Benign/f3911_accessible.pdf,f3911_accessible.pdf,66.8623046875,benign
1,0,0,0,0,0,1,0,0,0,0,0,0,0,82,82,15,15,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-02-11.pdf,n-02-11.pdf,58.67578125,benign
22,0,6,0,0,0,0,0,0,0,0,0,0,0,84,84,34,34,2,2,2,/home/remnux/Desktop/extraction/data/Benign/a-04-71.pdf,a-04-71.pdf,97.9453125,benign
7,0,0,0,0,0,1,0,0,0,0,0,0,0,44,44,9,9,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-01-81.pdf,n-01-81.pdf,26.9716796875,benign
1,0,6,0,0,0,0,0,0,0,0,0,0,0,80,80,77,77,0,0,2,/home/remnux/Desktop/extraction/data/Benign/registration_flow_chart.pdf,registration_flow_chart.pdf,180.4892578125,benign
13,0,7,0,0,0,0,0,0,0,0,0,0,0,290,290,67,67,4,4,3,/home/remnux/Desktop/extraction/data/Benign/rne_sum08.pdf,rne_sum08.pdf,311.5615234375,benign
1,0,2,0,0,0,0,1,0,0,0,0,0,0,79,79,33,33,2,2,2,/home/remnux/Desktop/extraction/data/Benign/cp45_english.pdf,cp45_english.pdf,141.3037109375,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,32,32,20,20,2,2,2,/home/remnux/Desktop/extraction/data/Benign/boltic.pdf,boltic.pdf,76.603515625,benign
7,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,28,28,3,3,3,/home/remnux/Desktop/extraction/data/Benign/085201f.pdf,085201f.pdf,41.46484375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/asnspcdv.pdf,asnspcdv.pdf,81.12109375,benign
8,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,10,10,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rr-11-19.pdf,rr-11-19.pdf,22.974609375,benign
4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,10,10,1,1,1,/home/remnux/Desktop/extraction/data/Benign/rr-99-11.pdf,rr-99-11.pdf,10.4580078125,benign
11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,13,13,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-07-43.pdf,n-07-43.pdf,24.12109375,benign
2,0,0,0,1,0,0,1,0,0,0,0,0,0,118,118,25,25,2,2,2,/home/remnux/Desktop/extraction/data/Benign/f8329.pdf,f8329.pdf,279.6025390625,benign
2,0,8,0,0,0,0,2,0,0,0,8,0,0,49,49,43,43,0,0,3,/home/remnux/Desktop/extraction/data/Benign/f4506tezsp_accessible.pdf,f4506tezsp_accessible.pdf,69.4619140625,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,22,10,10,2,2,2,/home/remnux/Desktop/extraction/data/Benign/ameracade.pdf,ameracade.pdf,80.0380859375,benign
4,0,10,2,3,182,0,1,0,0,0,0,0,0,611,611,325,325,2,2,1,/home/remnux/Desktop/extraction/data/Benign/f1028_accessible.pdf,f1028_accessible.pdf,388.025390625,benign
9,0,61,0,0,0,0,3,0,0,0,11,0,0,158,158,144,144,0,0,4,/home/remnux/Desktop/extraction/data/Benign/f4720_accessible.pdf,f4720_accessible.pdf,253.8232421875,benign
8,0,0,0,0,0,0,0,0,0,0,0,0,0,265,265,32,32,2,2,2,/home/remnux/Desktop/extraction/data/Benign/i720to.pdf,i720to.pdf,173.99609375,benign
8,0,1,0,0,0,0,0,0,0,0,0,0,0,42,42,12,12,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-10-12.pdf,rp-10-12.pdf,23.431640625,benign
2,0,10,0,0,1,0,0,0,0,0,0,0,0,45,45,41,41,0,0,2,/home/remnux/Desktop/extraction/data/Benign/p3524kr.pdf,p3524kr.pdf,313.8525390625,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,24,24,12,12,2,2,2,/home/remnux/Desktop/extraction/data/Benign/bnienter.pdf,bnienter.pdf,80.263671875,benign
18,0,0,0,0,0,0,0,0,0,0,1,0,0,142,142,24,24,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-11-42.pdf,rp-11-42.pdf,130.9599609375,benign
3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,8,8,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rr-03-32.pdf,rr-03-32.pdf,48.2099609375,benign
4,0,0,0,0,0,0,0,4,0,0,0,0,0,45,45,10,10,2,2,2,/home/remnux/Desktop/extraction/data/Benign/ar-1935.pdf,ar-1935.pdf,126.1865234375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,4,2,2,2,/home/remnux/Desktop/extraction/data/Benign/ccviiihg.pdf,ccviiihg.pdf,16.4736328125,benign
2,0,5,0,0,0,0,0,0,0,0,0,0,0,46,46,42,42,0,0,2,/home/remnux/Desktop/extraction/data/Benign/92appe.pdf,92appe.pdf,75.6953125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,3,2,2,2,/home/remnux/Desktop/extraction/data/Benign/amerxco.pdf,amerxco.pdf,29.7509765625,benign
42,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,50,50,1,1,1,/home/remnux/Desktop/extraction/data/Benign/FY2003_NIV_Detail_Table.pdf,FY2003_NIV_Detail_Table.pdf,264.9423828125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/comtube.pdf,comtube.pdf,80.4453125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,4,2,2,2,/home/remnux/Desktop/extraction/data/Benign/chrfibwi.pdf,chrfibwi.pdf,17.1611328125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,3,2,2,2,/home/remnux/Desktop/extraction/data/Benign/amerqots.pdf,amerqots.pdf,25.65234375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/caprica.pdf,caprica.pdf,80.833984375,benign
12,0,5,0,0,0,0,0,0,0,0,0,0,0,189,189,23,23,2,2,2,/home/remnux/Desktop/extraction/data/Benign/whistleblowerfy09rtc.pdf,whistleblowerfy09rtc.pdf,84.720703125,benign
1,0,0,0,0,0,1,0,0,0,0,0,0,0,79,79,13,13,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-02-68.pdf,n-02-68.pdf,48.7509765625,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,32,32,20,20,2,2,2,/home/remnux/Desktop/extraction/data/Benign/circlef.pdf,circlef.pdf,80.1962890625,benign
1,0,6,0,0,0,0,1,0,0,0,0,0,0,35,35,32,32,0,0,2,/home/remnux/Desktop/extraction/data/Benign/cheaterville.pdf,cheaterville.pdf,174.2646484375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/aocllc.pdf,aocllc.pdf,69.341796875,benign
3,0,0,1,0,0,0,0,0,0,0,0,0,0,34,34,4,4,1,1,1,/home/remnux/Desktop/extraction/data/Benign/ann96-13.pdf,ann96-13.pdf,55.1826171875,benign
5,0,9,0,0,0,0,0,0,0,0,0,0,0,67,67,48,48,0,0,3,/home/remnux/Desktop/extraction/data/Benign/p3067eru.pdf,p3067eru.pdf,163.9052734375,benign
5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,8,8,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-04-67.pdf,rp-04-67.pdf,19.2626953125,benign
13,0,2,0,0,0,0,0,0,0,0,0,0,0,115,114,58,58,2,2,2,/home/remnux/Desktop/extraction/data/Benign/DV_2013_Instructions_Hung.pdf,DV_2013_Instructions_Hung.pdf,290.1552734375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,4,2,2,2,/home/remnux/Desktop/extraction/data/Benign/brobaba.pdf,brobaba.pdf,23.5751953125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,3,2,2,2,/home/remnux/Desktop/extraction/data/Benign/amasphrm.pdf,amasphrm.pdf,25.8671875,benign
10,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,12,12,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-10-18.pdf,rp-10-18.pdf,25.7626953125,benign
20,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,22,22,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-07-66.pdf,rp-07-66.pdf,40.2373046875,benign
20,0,0,0,0,0,0,0,0,0,0,0,0,0,334,334,49,49,2,2,2,/home/remnux/Desktop/extraction/data/Benign/i990sh.pdf,i990sh.pdf,242.0625,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,26,26,14,14,2,2,2,/home/remnux/Desktop/extraction/data/Benign/conciric.pdf,conciric.pdf,74.822265625,benign
28,0,0,0,0,0,0,0,0,0,0,0,0,0,1348,1348,66,66,4,4,4,/home/remnux/Desktop/extraction/data/Benign/sum08.pdf,sum08.pdf,378.30859375,benign
3,0,0,0,0,0,1,0,0,0,0,0,0,0,135,135,9,9,2,2,2,/home/remnux/Desktop/extraction/data/Benign/a-03-74.pdf,a-03-74.pdf,73.8076171875,benign
14,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,14,14,1,1,1,/home/remnux/Desktop/extraction/data/Benign/not97-64.pdf,not97-64.pdf,21.875,benign
2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,5,5,1,1,1,/home/remnux/Desktop/extraction/data/Benign/65fr14505.pdf,65fr14505.pdf,122.0,benign
4,0,5,0,0,0,0,0,0,0,0,0,0,0,110,110,75,75,2,2,2,/home/remnux/Desktop/extraction/data/Benign/cp759_spanish.pdf,cp759_spanish.pdf,78.05859375,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,32,32,20,20,2,2,2,/home/remnux/Desktop/extraction/data/Benign/bestdoci.pdf,bestdoci.pdf,74.67578125,benign
2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,10,10,2,2,2,/home/remnux/Desktop/extraction/data/Benign/64fr62977.pdf,64fr62977.pdf,16.6767578125,benign
23,0,0,0,0,0,0,0,0,0,0,0,0,0,754,754,30,30,1,1,1,/home/remnux/Desktop/extraction/data/Benign/ntatestimonyfinanceidtheft041008.pdf,ntatestimonyfinanceidtheft041008.pdf,195.638671875,benign
2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,5,5,1,1,1,/home/remnux/Desktop/extraction/data/Benign/69fr8821.pdf,69fr8821.pdf,40.1103515625,benign
2,0,4,0,0,0,0,2,0,0,0,0,0,0,201,201,47,47,7,7,5,/home/remnux/Desktop/extraction/data/Benign/f6198.pdf,f6198.pdf,120.39453125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,3,2,2,2,/home/remnux/Desktop/extraction/data/Benign/convltel.pdf,convltel.pdf,24.9775390625,benign
2,0,1,0,0,0,0,0,0,0,0,0,0,0,34,34,6,6,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-08-31.pdf,rp-08-31.pdf,15.154296875,benign
2,0,13,0,0,0,0,2,0,0,0,11,0,0,82,82,76,76,0,0,3,/home/remnux/Desktop/extraction/data/Benign/f4563_accessible.pdf,f4563_accessible.pdf,90.5380859375,benign
3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,6,6,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-06-105.pdf,n-06-105.pdf,15.3095703125,benign
3,0,20,0,0,0,0,2,0,0,0,0,0,0,129,129,122,122,0,0,6,/home/remnux/Desktop/extraction/data/Benign/f9465fs.pdf,f9465fs.pdf,102.88671875,benign
3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,5,5,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-12-42.pdf,n-12-42.pdf,11.216796875,benign
1,0,1,0,0,0,0,0,0,0,0,0,0,0,27,27,9,9,2,2,2,/home/remnux/Desktop/extraction/data/Benign/cp53_chinese.pdf,cp53_chinese.pdf,121.203125,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,30,18,18,2,2,2,/home/remnux/Desktop/extraction/data/Benign/cisaic.pdf,cisaic.pdf,88.41796875,benign
11,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,16,16,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rr-07-39.pdf,rr-07-39.pdf,28.2646484375,benign
4,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,25,25,2,2,2,/home/remnux/Desktop/extraction/data/Benign/i8898.pdf,i8898.pdf,147.8046875,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/addicinc.pdf,addicinc.pdf,67.9658203125,benign
2,0,0,0,0,0,0,0,0,0,0,1,0,0,62,62,26,26,2,2,2,/home/remnux/Desktop/extraction/data/Benign/i1099q_10.pdf,i1099q_10.pdf,43.0439453125,benign
5,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,31,31,2,2,2,/home/remnux/Desktop/extraction/data/Benign/i990sf.pdf,i990sf.pdf,154.2587890625,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/avpmgmt.pdf,avpmgmt.pdf,73.8427734375,benign
3,0,12,0,0,0,0,2,0,0,0,0,0,0,53,53,46,46,0,0,4,/home/remnux/Desktop/extraction/data/Benign/f8811.pdf,f8811.pdf,66.7822265625,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,325,325,24,24,2,2,2,/home/remnux/Desktop/extraction/data/Benign/accurence_inc.pdf,accurence_inc.pdf,219.974609375,benign
4,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,18,18,2,2,2,/home/remnux/Desktop/extraction/data/Benign/it.pdf,it.pdf,31.15234375,benign
4,0,8,2,3,1,0,2,0,0,0,0,0,0,303,303,81,81,4,4,2,/home/remnux/Desktop/extraction/data/Benign/f8621a_accessible.pdf,f8621a_accessible.pdf,158.4765625,benign
2,0,0,2,3,1,0,2,0,0,0,0,0,0,111,111,40,40,3,3,3,/home/remnux/Desktop/extraction/data/Benign/f5305sep.pdf,f5305sep.pdf,73.09375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/arlingco.pdf,arlingco.pdf,85.4052734375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,5,5,2,2,2,/home/remnux/Desktop/extraction/data/Benign/3D_statue.pdf,3D_statue.pdf,336.7626953125,benign
4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,6,6,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-09-38.pdf,n-09-38.pdf,14.677734375,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,3,2,2,2,/home/remnux/Desktop/extraction/data/Benign/baltel.pdf,baltel.pdf,24.4150390625,benign
12,0,0,0,0,0,1,0,0,0,0,0,0,0,53,53,13,13,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp00-45.pdf,rp00-45.pdf,28.6728515625,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,27,15,15,2,2,2,/home/remnux/Desktop/extraction/data/Benign/citzglobc.pdf,citzglobc.pdf,82.9560546875,benign
13,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,16,16,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rr-09-32.pdf,rr-09-32.pdf,41.9794921875,benign
2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/64fr42361.pdf,64fr42361.pdf,19.8193359375,benign
19,0,0,0,0,0,0,0,0,0,0,0,0,0,328,328,42,42,2,2,2,/home/remnux/Desktop/extraction/data/Benign/i1065sm3.pdf,i1065sm3.pdf,244.4375,benign
4,0,0,0,0,0,0,0,0,0,0,1,0,0,24,24,7,7,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-11-39.pdf,n-11-39.pdf,18.0986328125,benign
19,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76,22,22,2,2,2,/home/remnux/Desktop/extraction/data/Benign/n-10-92.pdf,n-10-92.pdf,52.4755859375,benign
16,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,41,41,2,2,2,/home/remnux/Desktop/extraction/data/Benign/07eocharteobull.pdf,07eocharteobull.pdf,146.595703125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,4,4,1,1,1,/home/remnux/Desktop/extraction/data/Benign/20110105-J-King.pdf,20110105-J-King.pdf,36.2099609375,benign
1,0,0,0,0,0,0,1,0,0,0,0,0,0,134,134,24,24,2,2,2,/home/remnux/Desktop/extraction/data/Benign/atherotech.pdf,atherotech.pdf,189.388671875,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,4,2,2,2,/home/remnux/Desktop/extraction/data/Benign/chdhptbs.pdf,chdhptbs.pdf,21.3994140625,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/brgmwphh.pdf,brgmwphh.pdf,78.1171875,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/comtechcars.pdf,comtechcars.pdf,86.482421875,benign
1,0,8,0,0,0,0,2,0,0,0,0,0,0,303,303,41,41,4,4,3,/home/remnux/Desktop/extraction/data/Benign/f941prb.pdf,f941prb.pdf,142.6083984375,benign
2,0,0,0,0,0,0,1,0,0,0,0,0,0,60,60,33,33,2,2,2,/home/remnux/Desktop/extraction/data/Benign/cp567_spanish.pdf,cp567_spanish.pdf,27.169921875,benign
4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,7,7,2,2,2,/home/remnux/Desktop/extraction/data/Benign/a-05-45.pdf,a-05-45.pdf,14.912109375,benign
1,0,9,0,0,0,0,2,0,0,0,8,0,0,105,105,100,100,0,0,3,/home/remnux/Desktop/extraction/data/Benign/f843_accessible.pdf.pdf,f843_accessible.pdf.pdf,73.3486328125,benign
35,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,37,37,2,2,2,/home/remnux/Desktop/extraction/data/Benign/rp-11-35.pdf,rp-11-35.pdf,101.6884765625,benign
2,0,0,0,1,0,0,2,0,0,0,0,0,0,196,196,87,87,3,3,3,/home/remnux/Desktop/extraction/data/Benign/f5754.pdf,f5754.pdf,226.1162109375,benign
1,0,5,0,0,0,0,1,0,0,0,0,0,0,37,37,34,34,0,0,2,/home/remnux/Desktop/extraction/data/Benign/arcbazar_com.pdf,arcbazar_com.pdf,191.4365234375,benign
2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4,4,1,1,1,/home/remnux/Desktop/extraction/data/Benign/befrwopu.pdf,befrwopu.pdf,102.166015625,benign
1,0,2,0,0,0,0,0,0,0,0,0,0,0,37,37,16,16,2,2,1,/home/remnux/Desktop/extraction/data/Benign/GrantsGov_reg_process_flow_chart.pdf,GrantsGov_reg_process_flow_chart.pdf,24.42578125,benign
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,1,1,1,/home/remnux/Desktop/extraction/data/Benign/authsolu.pdf,authsolu.pdf,78.6650390625,benign
2,0,3,2,3,1,0,1,0,0,0,0,0,0,275,275,92,92,2,2,1,/home/remnux/Desktop/extraction/data/Benign/f973_accessible.pdf,f973_accessible.pdf,75.9052734375,benign
